product_id,product_name,description,price,category_id,stock_quantity,created_date
30,Jeans 3,High-quality jeans 3 perfect for your needs. Features excellent design and durability.,543.58,2,382,2025-06-06
31,Dress,High-quality dress perfect for your needs. Features excellent design and durability.,898.83,2,204,2025-02-05
32,Dress 2,High-quality dress 2 perfect for your needs. Features excellent design and durability.,997.34,2,70,2024-10-30
33,Dress 3,High-quality dress 3 perfect for your needs. Features excellent design and durability.,99.99,2,24,2024-05-29
34,Jacket,High-quality jacket perfect for your needs. Features excellent design and durability.,161.3,2,81,2024-11-22
35,Jacket 2,High-quality jacket 2 perfect for your needs. Features excellent design and durability.,427.93,2,32,2025-03-11
36,Jacket 3,High-quality jacket 3 perfect for your needs. Features excellent design and durability.,599.92,2,239,2024-07-13
37,Sneakers,High-quality sneakers perfect for your needs. Features excellent design and durability.,971.36,2,440,2025-08-29
38,Sneakers 2,High-quality sneakers 2 perfect for your needs. Features excellent design and durability.,683.47,2,58,2025-10-15
39,Sneakers 3,High-quality sneakers 3 perfect for your needs. Features excellent design and durability.,541.59,2,136,2023-12-15
40,Hat,High-quality hat perfect for your needs. Features excellent design and durability.,346.76,2,150,2025-07-21
41,Hat 2,High-quality hat 2 perfect for your needs. Features excellent design and durability.,459.18,2,488,2025-08-26
42,Hat 3,High-quality hat 3 perfect for your needs. Features excellent design and durability.,722.47,2,497,2024-04-12
43,Sweater,High-quality sweater perfect for your needs. Features excellent design and durability.,186.86,2,467,2025-06-04
44,Elite Sweater 2,High-quality elite sweater 2 perfect for your needs. Features excellent design and durability.,843.24,2,259,2024-11-02
45,Sweater 3,High-quality sweater 3 perfect for your needs. Features excellent design and durability.,161.3,2,390,2024-08-30
46,Modern Shorts,High-quality modern shorts perfect for your needs. Features excellent design and durability.,919.3,2,306,2024-07-12
47,Shorts 2,High-quality shorts 2 perfect for your needs. Features excellent design and durability.,29.27,2,475,2024-04-08
48,Shorts 3,High-quality shorts 3 perfect for your needs. Features excellent design and durability.,985.46,2,413,2024-05-25
49,Coffee Maker,High-quality coffee maker perfect for your needs. Features excellent design and durability.,67.34,3,449,2025-07-25
50,Coffee Maker 2,High-quality coffee maker 2 perfect for your needs. Features excellent design and durability.,87.96,3,374,2024-08-27
51,Coffee Maker 3,High-quality coffee maker 3 perfect for your needs. Features excellent design and durability.,78.51,3,389,2024-02-27
52,Lamp,High-quality lamp perfect for your needs. Features excellent design and durability.,134.49,3,337,2024-02-20
53,Lamp 2,High-quality lamp 2 perfect for your needs. Features excellent design and durability.,554.3,3,135,2024-09-30
54,Lamp 3,High-quality lamp 3 perfect for your needs. Features excellent design and durability.,610.52,3,493,2024-02-23
55,Modern Plant Pot,High-quality modern plant pot perfect for your needs. Features excellent design and durability.,757.7,3,353,2024-09-13
56,Elite Plant Pot 2,High-quality elite plant pot 2 perfect for your needs. Features excellent design and durability.,404.99,3,343,2025-09-28
57,Plant Pot 3,High-quality plant pot 3 perfect for your needs. Features excellent design and durability.,443.71,3,264,2024-09-02
58,Garden Tool,High-quality garden tool perfect for your needs. Features excellent design and durability.,255.42,3,32,2025-03-22
59,Garden Tool 2,High-quality garden tool 2 perfect for your needs. Features excellent design and durability.,592.42,3,117,2024-07-02
60,Garden Tool 3,High-quality garden tool 3 perfect for your needs. Features excellent design and durability.,17.11,3,362,2025-08-27
61,Cushion,High-quality cushion perfect for your needs. Features excellent design and durability.,236.64,3,463,2024-01-12
62,Elite Cushion 2,High-quality elite cushion 2 perfect for your needs. Features excellent design and durability.,80.14,3,121,2025-06-28
63,Classic Cushion 3,High-quality classic cushion 3 perfect for your needs. Features excellent design and durability.,222.08,3,67,2024-11-30
64,Curtains,High-quality curtains perfect for your needs. Features excellent design and durability.,883.55,3,295,2025-01-29
65,Curtains 2,High-quality curtains 2 perfect for your needs. Features excellent design and durability.,786.76,3,413,2024-03-15
66,Curtains 3,High-quality curtains 3 perfect for your needs. Features excellent design and durability.,103.37,3,337,2025-11-25
67,Rug,High-quality rug perfect for your needs. Features excellent design and durability.,429.33,3,239,2024-09-29
68,Rug 2,High-quality rug 2 perfect for your needs. Features excellent design and durability.,63.62,3,334,2024-02-09
69,Rug 3,High-quality rug 3 perfect for your needs. Features excellent design and durability.,107.42,3,206,2025-02-10
70,Vase,High-quality vase perfect for your needs. Features excellent design and durability.,802.58,3,55,2024-07-24
71,Pro Vase 2,High-quality pro vase 2 perfect for your needs. Features excellent design and durability.,540.91,3,71,2025-09-14
72,Vase 3,High-quality vase 3 perfect for your needs. Features excellent design and durability.,285.75,3,127,2025-04-11
73,Novel,High-quality novel perfect for your needs. Features excellent design and durability.,84.62,4,413,2025-04-03
74,Novel 2,High-quality novel 2 perfect for your needs. Features excellent design and durability.,554.81,4,25,2025-10-27
75,Novel 3,High-quality novel 3 perfect for your needs. Features excellent design and durability.,545.17,4,7,2025-10-09
76,Cookbook,High-quality cookbook perfect for your needs. Features excellent design and durability.,927.09,4,434,2024-09-15
77,Classic Cookbook 2,High-quality classic cookbook 2 perfect for your needs. Features excellent design and durability.,490.77,4,109,2025-03-02
78,Cookbook 3,High-quality cookbook 3 perfect for your needs. Features excellent design and durability.,903.41,4,84,2024-05-07
79,Biography,High-quality biography perfect for your needs. Features excellent design and durability.,985.45,4,135,2025-06-09
80,Biography 2,High-quality biography 2 perfect for your needs. Features excellent design and durability.,787.27,4,146,2024-02-02
81,Biography 3,High-quality biography 3 perfect for your needs. Features excellent design and durability.,957.73,4,401,2024-01-14
82,Textbook,High-quality textbook perfect for your needs. Features excellent design and durability.,721.21,4,79,2025-05-06
83,Pro Textbook 2,High-quality pro textbook 2 perfect for your needs. Features excellent design and durability.,969.01,4,296,2024-06-04
84,Textbook 3,High-quality textbook 3 perfect for your needs. Features excellent design and durability.,70.34,4,160,2025-08-01
85,Modern Comic Book,High-quality modern comic book perfect for your needs. Features excellent design and durability.,482.01,4,470,2024-07-21
86,Comic Book 2,High-quality comic book 2 perfect for your needs. Features excellent design and durability.,165.85,4,491,2024-02-09
87,Comic Book 3,High-quality comic book 3 perfect for your needs. Features excellent design and durability.,852.82,4,35,2025-10-04
88,Dictionary,High-quality dictionary perfect for your needs. Features excellent design and durability.,678.45,4,120,2024-06-07
89,Dictionary 2,High-quality dictionary 2 perfect for your needs. Features excellent design and durability.,942.17,4,291,2025-10-13
90,Modern Dictionary 3,High-quality modern dictionary 3 perfect for your needs. Features excellent design and durability.,49.33,4,41,2024-02-26
91,Atlas,High-quality atlas perfect for your needs. Features excellent design and durability.,587.83,4,267,2024-09-30
92,Atlas 2,High-quality atlas 2 perfect for your needs. Features excellent design and durability.,268.15,4,342,2024-07-12
93,Atlas 3,High-quality atlas 3 perfect for your needs. Features excellent design and durability.,246.29,4,202,2024-11-26
94,Elite Guide,High-quality elite guide perfect for your needs. Features excellent design and durability.,462.64,4,475,2025-04-16
95,Guide 2,High-quality guide 2 perfect for your needs. Features excellent design and durability.,81.81,4,234,2025-09-17
96,Guide 3,High-quality guide 3 perfect for your needs. Features excellent design and durability.,567.35,4,51,2024-09-18
97,Pro Basketball,High-quality pro basketball perfect for your needs. Features excellent design and durability.,510.82,5,67,2024-04-14
98,Basketball 2,High-quality basketball 2 perfect for your needs. Features excellent design and durability.,882.05,5,450,2024-09-22
99,Elite Basketball 3,High-quality elite basketball 3 perfect for your needs. Features excellent design and durability.,166.16,5,426,2024-09-10
100,Tennis Racket,High-quality tennis racket perfect for your needs. Features excellent design and durability.,309.48,5,413,2024-05-20
101,Tennis Racket 2,High-quality tennis racket 2 perfect for your needs. Features excellent design and durability.,17.73,5,418,2025-05-13
102,Tennis Racket 3,High-quality tennis racket 3 perfect for your needs. Features excellent design and durability.,932.43,5,53,2024-07-04
103,Yoga Mat,High-quality yoga mat perfect for your needs. Features excellent design and durability.,142.94,5,59,2025-06-07
104,Yoga Mat 2,High-quality yoga mat 2 perfect for your needs. Features excellent design and durability.,744.98,5,79,2025-12-06
105,Modern Yoga Mat 3,High-quality modern yoga mat 3 perfect for your needs. Features excellent design and durability.,218.51,5,175,2025-05-23
106,Elite Dumbbells,High-quality elite dumbbells perfect for your needs. Features excellent design and durability.,510.34,5,128,2025-04-26
107,Dumbbells 2,High-quality dumbbells 2 perfect for your needs. Features excellent design and durability.,847.63,5,47,2024-02-03
108,Dumbbells 3,High-quality dumbbells 3 perfect for your needs. Features excellent design and durability.,831.04,5,22,2025-03-27
109,Pro Bicycle,High-quality pro bicycle perfect for your needs. Features excellent design and durability.,640.73,5,134,2025-04-16
110,Classic Bicycle 2,High-quality classic bicycle 2 perfect for your needs. Features excellent design and durability.,556.15,5,218,2024-04-20
111,Bicycle 3,High-quality bicycle 3 perfect for your needs. Features excellent design and durability.,120.75,5,483,2025-01-27
112,Tent,High-quality tent perfect for your needs. Features excellent design and durability.,904.88,5,279,2025-06-28
113,Elite Tent 2,High-quality elite tent 2 perfect for your needs. Features excellent design and durability.,586.67,5,75,2024-06-17
114,Tent 3,High-quality tent 3 perfect for your needs. Features excellent design and durability.,51.4,5,186,2024-04-14
115,Backpack,High-quality backpack perfect for your needs. Features excellent design and durability.,798.15,5,440,2024-12-03
116,Elite Backpack 2,High-quality elite backpack 2 perfect for your needs. Features excellent design and durability.,217.97,5,127,2024-09-29
117,Backpack 3,High-quality backpack 3 perfect for your needs. Features excellent design and durability.,360.13,5,286,2024-07-06
118,Running Shoes,High-quality running shoes perfect for your needs. Features excellent design and durability.,412.3,5,317,2025-11-27
119,Running Shoes 2,High-quality running shoes 2 perfect for your needs. Features excellent design and durability.,926.5,5,121,2025-04-20
120,Running Shoes 3,High-quality running shoes 3 perfect for your needs. Features excellent design and durability.,976.43,5,415,2025-05-27
121,Classic Board Game,High-quality classic board game perfect for your needs. Features excellent design and durability.,34.53,6,377,2025-02-14
122,Board Game 2,High-quality board game 2 perfect for your needs. Features excellent design and durability.,784.55,6,210,2024-05-28
123,Board Game 3,High-quality board game 3 perfect for your needs. Features excellent design and durability.,865.41,6,415,2025-05-24
124,Pro Action Figure,High-quality pro action figure perfect for your needs. Features excellent design and durability.,789.49,6,55,2024-08-17
125,Action Figure 2,High-quality action figure 2 perfect for your needs. Features excellent design and durability.,48.33,6,240,2025-09-24
126,Classic Action Figure 3,High-quality classic action figure 3 perfect for your needs. Features excellent design and durability.,356.15,6,420,2025-07-28
127,Puzzle,High-quality puzzle perfect for your needs. Features excellent design and durability.,235.31,6,12,2025-08-03
128,Puzzle 2,High-quality puzzle 2 perfect for your needs. Features excellent design and durability.,404.47,6,142,2024-01-22
129,Puzzle 3,High-quality puzzle 3 perfect for your needs. Features excellent design and durability.,967.21,6,142,2024-06-04
130,Building Blocks,High-quality building blocks perfect for your needs. Features excellent design and durability.,514.3,6,347,2025-09-08
131,Building Blocks 2,High-quality building blocks 2 perfect for your needs. Features excellent design and durability.,540.84,6,480,2024-01-03
132,Elite Building Blocks 3,High-quality elite building blocks 3 perfect for your needs. Features excellent design and durability.,186.77,6,492,2025-08-26
133,Doll,High-quality doll perfect for your needs. Features excellent design and durability.,47.86,6,305,2024-08-11
134,Doll 2,High-quality doll 2 perfect for your needs. Features excellent design and durability.,731.25,6,160,2024-10-16
135,Doll 3,High-quality doll 3 perfect for your needs. Features excellent design and durability.,984.38,6,59,2024-07-04
136,RC Car,High-quality rc car perfect for your needs. Features excellent design and durability.,580.81,6,130,2024-01-30
137,Classic RC Car 2,High-quality classic rc car 2 perfect for your needs. Features excellent design and durability.,11.66,6,473,2024-05-21
138,RC Car 3,High-quality rc car 3 perfect for your needs. Features excellent design and durability.,689.98,6,481,2025-11-18
139,Card Game,High-quality card game perfect for your needs. Features excellent design and durability.,673.91,6,186,2025-02-22
140,Card Game 2,High-quality card game 2 perfect for your needs. Features excellent design and durability.,949.38,6,471,2025-10-20
141,Card Game 3,High-quality card game 3 perfect for your needs. Features excellent design and durability.,320.77,6,434,2025-06-19
142,Elite Stuffed Animal,High-quality elite stuffed animal perfect for your needs. Features excellent design and durability.,512.04,6,341,2024-08-10
143,Stuffed Animal 2,High-quality stuffed animal 2 perfect for your needs. Features excellent design and durability.,408.37,6,151,2024-05-23
144,Stuffed Animal 3,High-quality stuffed animal 3 perfect for your needs. Features excellent design and durability.,199.91,6,340,2025-05-02
145,Shampoo,High-quality shampoo perfect for your needs. Features excellent design and durability.,680.53,7,462,2024-12-31
146,Modern Shampoo 2,High-quality modern shampoo 2 perfect for your needs. Features excellent design and durability.,307.93,7,280,2024-10-12
147,Shampoo 3,High-quality shampoo 3 perfect for your needs. Features excellent design and durability.,310.83,7,107,2025-10-27
148,Moisturizer,High-quality moisturizer perfect for your needs. Features excellent design and durability.,584.17,7,335,2025-11-19
149,Moisturizer 2,High-quality moisturizer 2 perfect for your needs. Features excellent design and durability.,447.36,7,345,2025-04-22
150,Classic Moisturizer 3,High-quality classic moisturizer 3 perfect for your needs. Features excellent design and durability.,795.79,7,491,2024-11-30
151,Perfume,High-quality perfume perfect for your needs. Features excellent design and durability.,177.98,7,43,2024-03-29
152,Modern Perfume 2,High-quality modern perfume 2 perfect for your needs. Features excellent design and durability.,341.83,7,419,2024-07-02
153,Perfume 3,High-quality perfume 3 perfect for your needs. Features excellent design and durability.,242.51,7,158,2024-03-27
154,Pro Toothbrush,High-quality pro toothbrush perfect for your needs. Features excellent design and durability.,155.87,7,23,2024-06-18
155,Classic Toothbrush 2,High-quality classic toothbrush 2 perfect for your needs. Features excellent design and durability.,615.15,7,393,2025-07-10
156,Classic Toothbrush 3,High-quality classic toothbrush 3 perfect for your needs. Features excellent design and durability.,887.27,7,294,2025-02-18
157,Classic Vitamins,High-quality classic vitamins perfect for your needs. Features excellent design and durability.,499.42,7,124,2025-01-31
158,Premium Vitamins 2,High-quality premium vitamins 2 perfect for your needs. Features excellent design and durability.,893.72,7,440,2024-07-01
159,Vitamins 3,High-quality vitamins 3 perfect for your needs. Features excellent design and durability.,115.51,7,217,2025-07-12
160,Modern Face Mask,High-quality modern face mask perfect for your needs. Features excellent design and durability.,469.89,7,285,2025-03-08
161,Premium Face Mask 2,High-quality premium face mask 2 perfect for your needs. Features excellent design and durability.,461.89,7,410,2024-11-06
162,Face Mask 3,High-quality face mask 3 perfect for your needs. Features excellent design and durability.,535.81,7,286,2025-11-06
163,Lipstick,High-quality lipstick perfect for your needs. Features excellent design and durability.,950.53,7,456,2025-03-07
164,Lipstick 2,High-quality lipstick 2 perfect for your needs. Features excellent design and durability.,816.85,7,456,2024-10-15
165,Lipstick 3,High-quality lipstick 3 perfect for your needs. Features excellent design and durability.,832.25,7,280,2024-09-16
166,Sunscreen,High-quality sunscreen perfect for your needs. Features excellent design and durability.,167.56,7,441,2024-05-28
167,Sunscreen 2,High-quality sunscreen 2 perfect for your needs. Features excellent design and durability.,266.59,7,126,2024-03-26
168,Sunscreen 3,High-quality sunscreen 3 perfect for your needs. Features excellent design and durability.,284.53,7,398,2025-01-08
169,Car Battery,High-quality car battery perfect for your needs. Features excellent design and durability.,630.47,8,140,2024-12-27
170,Car Battery 2,High-quality car battery 2 perfect for your needs. Features excellent design and durability.,716.4,8,120,2024-02-18
171,Elite Car Battery 3,High-quality elite car battery 3 perfect for your needs. Features excellent design and durability.,894.09,8,41,2025-07-19
172,Pro Tire,High-quality pro tire perfect for your needs. Features excellent design and durability.,389.19,8,78,2024-01-15
173,Tire 2,High-quality tire 2 perfect for your needs. Features excellent design and durability.,73.58,8,208,2025-10-08
174,Tire 3,High-quality tire 3 perfect for your needs. Features excellent design and durability.,471.26,8,31,2024-03-04
175,Classic Oil Filter,High-quality classic oil filter perfect for your needs. Features excellent design and durability.,395.57,8,394,2024-04-06
176,Oil Filter 2,High-quality oil filter 2 perfect for your needs. Features excellent design and durability.,698.56,8,438,2025-04-10
177,Oil Filter 3,High-quality oil filter 3 perfect for your needs. Features excellent design and durability.,579.92,8,244,2024-04-12
178,Elite Brake Pad,High-quality elite brake pad perfect for your needs. Features excellent design and durability.,305.62,8,199,2025-08-16
179,Brake Pad 2,High-quality brake pad 2 perfect for your needs. Features excellent design and durability.,953.89,8,214,2025-05-21
180,Brake Pad 3,High-quality brake pad 3 perfect for your needs. Features excellent design and durability.,737.28,8,409,2024-11-01
181,Car Mat,High-quality car mat perfect for your needs. Features excellent design and durability.,228.32,8,112,2025-03-17
182,Classic Car Mat 2,High-quality classic car mat 2 perfect for your needs. Features excellent design and durability.,38.72,8,172,2024-01-28
183,Car Mat 3,High-quality car mat 3 perfect for your needs. Features excellent design and durability.,800.15,8,370,2024-10-03
184,Classic Phone Mount,High-quality classic phone mount perfect for your needs. Features excellent design and durability.,920.34,8,318,2024-10-01
185,Phone Mount 2,High-quality phone mount 2 perfect for your needs. Features excellent design and durability.,907.85,8,303,2025-03-16
186,Phone Mount 3,High-quality phone mount 3 perfect for your needs. Features excellent design and durability.,36.82,8,329,2024-12-07
187,Dash Cam,High-quality dash cam perfect for your needs. Features excellent design and durability.,868.17,8,93,2025-01-23
188,Classic Dash Cam 2,High-quality classic dash cam 2 perfect for your needs. Features excellent design and durability.,334.07,8,232,2024-06-22
189,Dash Cam 3,High-quality dash cam 3 perfect for your needs. Features excellent design and durability.,763.61,8,194,2025-02-11
190,Classic Air Freshener,High-quality classic air freshener perfect for your needs. Features excellent design and durability.,259.74,8,41,2025-10-08
191,Air Freshener 2,High-quality air freshener 2 perfect for your needs. Features excellent design and durability.,751.52,8,26,2023-12-18
192,Air Freshener 3,High-quality air freshener 3 perfect for your needs. Features excellent design and durability.,356.45,8,332,2025-05-21
193,Premium Dog Food,High-quality premium dog food perfect for your needs. Features excellent design and durability.,756.68,9,486,2025-06-21
194,Premium Dog Food 2,High-quality premium dog food 2 perfect for your needs. Features excellent design and durability.,625.11,9,122,2024-03-07
195,Premium Dog Food 3,High-quality premium dog food 3 perfect for your needs. Features excellent design and durability.,568.32,9,111,2025-05-22
196,Cat Litter,High-quality cat litter perfect for your needs. Features excellent design and durability.,263.67,9,188,2025-10-27
197,Modern Cat Litter 2,High-quality modern cat litter 2 perfect for your needs. Features excellent design and durability.,964.09,9,367,2025-01-30
198,Pro Cat Litter 3,High-quality pro cat litter 3 perfect for your needs. Features excellent design and durability.,965.06,9,55,2025-07-15
199,Pet Toy,High-quality pet toy perfect for your needs. Features excellent design and durability.,929.59,9,294,2024-07-04
200,Pet Toy 2,High-quality pet toy 2 perfect for your needs. Features excellent design and durability.,958.58,9,203,2025-07-28
